博主昵称,微博内容,微博来源,转发,评论,赞,id
草图君,"【支持国货】国牌七连抽第二天!昨晚看完你们说的我就去联系了!然后!!!你们要的李宁来了~李宁反伍新款T恤4件,其中有2件还未发售的款!!!!!都用了新疆棉!明天睡醒抽4⃣️位1⃣️人1⃣️件~🍻夸我~ O抽奖详情",,2562,2667,8035,131
-来一瓶养乐多吧,"#新疆棉有多受欢迎#新疆棉花真的特别饱满,看着就特别舒服!做出来的衣物肯定也很舒服!!支持新疆棉花!支持中国!拒绝抵制",iPhone 11,0,0,0,132
阳光的男孩热苏打,"#支持新疆棉的国货品牌# 支持中国品牌,恭喜肖战成为李宁品牌代言人,#肖战李宁运动潮流产品全球代言人# 2成都",OPPO Reno4 5G,0,0,0,133
爱吃旺仔小馒头的哈士奇,#新疆棉有多受欢迎# 昨天才知道原来新疆棉的产量我们自己都不够用的 身旁很多都用的是新疆棉 好东西原来就在我们身边L娱圈前线的微博视频,前置双摄vivo X9,0,0,0,134
不优秀奶黄包,聪明的国潮现在应该降价吧......发这个财又不光彩#支持新疆棉的国货品牌##理智抵制拒绝暴力#,vivo X60Pro 蔡司影像,0,0,0,135
心跳了哦,"新疆棉真的奈斯,质量很好",微博国际版,0,0,0,136
换个大房子,"#新疆棉有多受欢迎#新疆的气候特点适宜种棉花,所以新疆棉的质量是上乘的,做出来的棉制品错不了L娱圈前线的微博视频",微博视频号,0,0,0,137
艺见集校务刘老师,#支持新疆棉的国货品牌##肖战李宁运动潮流产品全球代言人##李宁官宣肖战# @X玖少年团肖战DAYTOY 肖战我喜欢你肖战正能量艺人正能量偶像肖战肖战我爱你肖战余生请多指教#肖战#[爱心]#肖战李宁运动潮流产品全球代言人#,vivo S9 极夜柔光自拍,0,0,0,138
琳同学__,"#新疆棉有多受欢迎# 新疆棉花真的是最好的棉花了,真是难抢啊 是很稀罕质量很好的东西,支持新疆棉花,支持国货。",新浪微博4G版,0,0,0,139
娱乐听我说,"#新疆棉有多受欢迎# 支持一下,他们不用是他们的损失,新疆棉花真的很受欢迎而且质量特别好,听到新疆的产棉量占了全世界的1/5时,真的好自豪 L观星娱乐的微博视频",微博视频号,79,39,55,140
春观百花冬观雪lll,"#新疆棉有多受欢迎# 说得对,新疆棉本来就是很好,品质一流的,是那些人不识货",Android,0,0,0,141
暖暖的花香呢,炸啦啦啦#支持新疆棉的国货品牌#,荣耀10 AI变色更潮美,0,0,0,142
温暖依然99,#薇娅直播间#转发好运。今晚直播间支持新疆棉,iPhone客户端,0,0,0,143
今天给立农打榜了吗,#我支持新疆棉花#和陈立农一起支持新疆棉花#支持新疆棉的国货品牌#,OPPO A11,0,0,1,144
小雨说旺仔牛奶养乐多好喝鸭,"#新疆棉有多受欢迎#哇塞,真的感到非常的骄傲,看到新疆棉这么受欢迎 ~我的很多衣服都是新疆棉做的,超级舒服,超级好",vivo Y30,0,0,0,145
面包小清纯,#新疆棉有多受欢迎#支持祖国 支持新疆棉花 2北京·晨曦园,iPad mini,0,0,0,146
山里的老司机爱喝旺仔牛奶,#新疆棉有多受欢迎# 今晚上看了薇娅我学到了太多关于新疆棉的知识了!,iPhone客户端,0,1,0,147
落叶小屋,薇娅直播间#支持新疆棉的国货品牌#,nova5Pro人像超级夜景,0,0,0,148
优奢易拍梁辰,#奢侈品鉴定师#中国工厂的春天不远了!#奢侈品##二手奢侈品##支持新疆棉的国货品牌# L优奢易拍梁辰的微博视频,微博视频号,5,1,53,149
Egowwg,"#耐克阿迪股价大跌#也不是说替Nike、Adidas洗白之类的。毕竟如果新疆棉事件往不好的方向发展,那么自己为数不多的爱好之一球鞋可能就要受到重创了,那真是一件挺难过的事情...我觉得这件事情更多的是政治斗争吧,还是希望大家要理性,也希望Nike之类哪怕装样子也出来道个歉啥的,虽说国产鞋在性能上完全不落后,但是Aj、Yeezy、dunk这些在鞋狗心中着实还是很有分量的,放弃了它们总觉得心里会空荡荡的吧。最后,国家尊严不容侵犯,国家形象不容抹黑,中国能发展到今天这样,真的是一代代人用血肉换来的,中国真的很棒,中国人民真的很棒[呲牙] 2杭州 收起全文d",iPhone客户端,0,0,0,150
烊烊洒洒的烊光4,"#新疆棉有多受欢迎#我国作为世界最大的棉花消费国、第二大棉花生产国,新疆棉产量520万吨,占国内产量比重约87%,占国内消费比重约67%,年度缺口约185万吨。新疆的长绒棉,是世界顶级,做衣被,暖和、透气、舒适,长年供不应求。",微博极速版,0,0,0,151
杨小彬1特抱抱微信直播,#薇娅直播间# #薇娅双十一直播# #支持新疆棉的国货品牌# 加油,HUAWEI P30 Pro,0,0,0,152
大聚元生态农业,"晚安,祝您生活甜蜜!#学生时代记忆最深刻的游戏##生活的可爱瞬间##快速找对象的方式##如何委婉的让朋友还钱##春季风景摄影大赛##微店##对你上心了##成年人幸福的要素##支持新疆棉的国货品牌##学生时代记忆最深刻的游戏##漫画腰挑战##小朋友的灵气是怎么消退的##上大学和没上大学有什么区别##哥斯拉大战金刚口碑##好老师该具备哪些素质##如何评价姐姐四公选曲##自然风光🌸# 每一滴都是大自然的馈赠!#肖战##支持新疆棉的国货品牌##你镜头下的春天有多美好# 新裝上市 原生态蜂蜜 枣花蜜 500克装 养生佳品! 收起全文d",Nokia X6 越级体验,0,1,0,153
